produto_id,quantidade,nome
20887,100,FIORINO 04/09 BICOLOR LE
20888,100,FIORINO 14.../DOBLO 10/18 LE
20889,100,FIORINO 14.../DOBLO 10/18 LD
20890,100,PALIO WEEKEND 97/00 L.D
20891,100,PALIO WEEKEND 97/00 L.E
20892,100,PALIO WEEKEND 01/03 LD
20893,100,PALIO WEEKEND 01/03 LE
20894,100,PALIO 96/99 L.D
20895,100,PALIO 96/99 L.E
20896,100,PALIO 01/03 TRICO L.D
20897,100,PALIO 01/03 TRICO L.E
20898,100,PALIO 01/03 FUME L.D
20899,100,PALIO 01/03 FUME L.E
20900,100,PALIO 04/06 L.D
20901,100,PALIO 04/06 L.E
20902,100,PALIO 07/11 RUBI L.D
20903,100,PALIO 07/11 RUBI L.E
20904,100,PALIO ''R'' BICOLOR LD
20905,100,PALIO ''R'' BICOLOR LE
20906,100,PALIO 08... FUME LD
20907,100,PALIO 08... FUME LE
20908,100,PALIO ECONOMY 12... L.D
20909,100,PALIO ECONOMY 12... L.E
20910,100,STRADA 98/00 LD
20911,100,STRADA 98/00 LE
20912,100,STRADA 01/04 L.D
20913,100,STRADA 01/04 L.E
20914,100,STRADA 05/08 L.D
20915,100,STRADA 05/08 L.E
20916,100,STRADA 10/13 LD
20917,100,STRADA 10/13 LE
20918,100,STRADA TAMPA 08... L.D
20919,100,STRADA TAMPA 08... L.E
20920,100,STRADA 15... LD
20921,100,STRADA 15... LE
20922,100,SIENA 97/00 FUME L.D
20923,100,SIENA 97/00 FUME L.E
20924,100,SIENA 01/03 TRICOLOR LD
20925,100,SIENA 01/03 TRICOLOR LE
20926,100,SIENA 04/08 LD
20927,100,SIENA 04/08 LE
20928,100,FORD
20929,100,ESCORT 87/92 TRICO LD
20930,100,ESCORT 87/92 TRICO LE
20931,100,KA 97/01 TRICOLOR LD
20932,100,KA 97/01 TRICOLOR LE
20933,100,KA 01/07 RUBI L.D
20934,100,KA 01/07 RUBI L.E
20935,100,KA 08/11 RUBI L.D
20936,100,KA 08/11 RUBI L.E
20937,100,KA 11/14 CRISTAL L.D
20938,100,KA 11/14 CRISTAL L.E
20939,100,ECOSPORT 03/07 RUBI L.D
20940,100,ECOSPORT 03/07 RUBI L.E
20941,100,ECOSPORT 03/07 FUME LD
20942,100,ECOSPORT 03/07 FUME LE
20943,100,ECOSPORT 08/12 FUME L.D
20944,100,ECOSPORT 08/12 FUME L.E
20945,100,ECOSPORT 08/12 RUBI LD
20946,100,ECOSPORT 08/12 RUBI LE
20947,100,FIESTA HATCH 04/14 RUBI LD
20948,100,FIESTA HATCH 04/14 RUBI LE
20949,100,FIESTA SEDAN 03/10 BICOLOR LD
20950,100,FIESTA SEDAN 03/10 BICOLOR LE
20951,100,RANGER 93/97 LD
20952,100,RANGER 93/97 LE
20953,100,GM
20954,100,CORSA 94/99 LD
20955,100,CORSA 94/99 LE
20956,100,CLASSIC 2010 CANTO L.D
20957,100,CLASSIC 2010 CANTO L.E
20958,100,CLASSIC 2010 TAMPA L.D
20959,100,CLASSIC 2010 TAMPA L.E
20960,100,CORSA SEDAN 2000 RE FUME LD
20961,100,CORSA SEDAN 2000 RE FUME LE
20962,100,CORSA SEDAN 2000 RE CRISTAL LD
20963,100,CORSA SEDAN 2000 RE CRISTAL LE
20964,100,CORSA 2000 4P / PICKUP (BOLHA) LE
20965,100,CORSA 2000 4P / PICKUP (BOLHA) LD
20966,100,PRISMA 06/12 RUBI L.D
20967,100,PRISMA 06/12 RUBI L.E
20968,100,PRISMA 06/12 FUME L.D
20969,100,PRISMA 06/12 FUME L.E
20970,100,CELTA 01/05 TRICO L.D
20971,100,CELTA 01/05 TRICO L.E
20972,100,CELTA 07.. L.D
20973,100,CELTA 07.. L.E
20974,100,MONTANA 04/10 RE CRISTA LD
20975,100,MONTANA 04/10 RE CRISTAL LE
20976,100,ONIX 13/16 RE CRISTAL LD
20977,100,ONIX 13/16 RE CRISTAL LE
20978,100,ONIX 13/16 RE FUME LD
20979,100,ONIX 13/16 RE FUME LE
20980,100,SPIN 13... L.D
20981,100,SPIN 13... L.E
20982,100,CHEVETTE 80/82 LE
20983,100,CHEVETTE 80/82 LD
20984,100,CHEVETTE 87/93 LD
20985,100,CHEVETTE 87/93 LE
20986,100,CHEVY 500/MARAJO 83/94 LD
20987,100,CHEVY 500/MARAJO 83/94 LE
20988,100,CARAVAN 80/92 RUBI LD
20989,100,CARAVAN 80/92 RUBI LE
20990,100,CARAVAN 80/92 TRICOLOR LD
20991,100,CARAVAN 80/92 TRICOLOR LE
20992,100,MONZA 82/90 TRICO L.D
20993,100,MONZA 82/90 TRICO L.E
20994,100,MONZA 91/96 TRICO L.D
20995,100,MONZA 91/96 TRICO L.E
20996,100,MONZA 91/96 FUME L.D
20997,100,MONZA 91/96 FUME L.E
20998,100,AGILE 10/14 BICOLOR LD
20999,100,AGILE 10/14 BICOLOR LE
21000,100,ASTRA HATCH 03/12 RE CRISTAL LD
21001,100,ASTRA HATCH 03/12 RE CRISTAL LE
21002,100,ASTRA HATCH 99/02 TRICOLOR LD
21003,100,ASTRA HATCH 99/02 TRICOLOR LE
21004,100,ASTRA SEDAN 03... RE CRISTAL LD
21005,100,ASTRA SEDAN 03... RE CRISTAL LE
21006,100,VECTRA 97/99 RE CRISTAL LD
21007,100,VECTRA 97/99 RE CRISTAL LE
21008,100,OMEGA CD FUME LD
21009,100,OMEGA CD FUME LE
21010,100,VW
21011,100,VW FUSQUINHA 1300/1500 TRICO
21012,100,VW FUSQUINHA 1300/1500 RUBI
21013,100,VW FUSQUINHA 1300/1500 FUME
21014,100,VW 1500 FUSCAO TRICO
21015,100,VW 1500 FUSCAO RUBI
21016,100,VW 1500 FUSCAO FUME
21017,100,VW FAFA TRICO
21018,100,VW FAFA RUBI
21019,100,VW FAFA FUME
21020,100,KOMBI 62/74 AMBAR LD/LE
21021,100,KOMBI CLIPPER TRICOLOR LD/LE
21022,100,GOL 88/94 TRICO L.D
21023,100,GOL 88/94 TRICO L.E
21024,100,GOL 84/94 FUME L.D
21025,100,GOL 84/94 FUME L.E
21026,100,GOL 95/99 TRICO L.D RENOV
21027,100,GOL 95/99 TRICO L.E RENOV
21028,100,GOL 95/99 FUME L.D
21029,100,GOL 95/99 FUME L.E
21030,100,GOL G3 TRICO L.D
21031,100,GOL G3 TRICO L.E
21032,100,GOL G4 RE/C L.D
